"CAMC_Name","CAMC_Country","CAMC_Birth","CAMC_Death","CAMC_Count","GND_Count","GND_URI","GND_Name","GND_Country","GND_Gender","GND_Birth","GND_Death","GND_VariantName","Birth","Death","Country"
"Bakfark, Balint Valentin",NA,"1507","1576",4,1,NA,"not found",NA,0,NA,NA,NA,"1507","1576",NA
"Balakirev, Mily","RUS","1837","1910",6,1,"http://d-nb.info/gnd/118652036","Balakirev, Milij A.","RUS",1,"1836","1910","Balakirev, Milij Alekseevič; Balakirev, ...; Balakirew, Milij Alexejewitsch; Balakirev, M. A.; Balakirev, M.; Balakirev, Mily A.; Balakirew, M.; Balakirew, Mili A.; Balakirew, Milij A.; Balakireff, Mily; Balakirev, Milii A.; Balakirev, Mili Alexeyevich; Balakirew, Mili; Balakirev, Mily; Balakirev, Mili; Balakirev, Mily Alexeyevich; Balakirew, Mili Alexejewitsch; Balakirev, Milij; Balakirev, Milii Alekseevich; Balakirev, Miliĭ Alekseevich; Balakirew, Milij; Balakirev, Mily Alexejewitsch","1836","1910","RUS"
"Balfe, Michael William","IRL","1808","1870",5,1,"http://d-nb.info/gnd/115829253","Balfe, Michael W.","GBR/IRL",1,"1808","1870","Barret, William A.; Balfe, Michael William; Balfe, Guglielmo; Balfe, M. W.","1808","1870","IRL"
"Ball, Jeff","USA","1984",NA,8,1,NA,"not found",NA,0,NA,NA,NA,"1984",NA,"USA"
"Ballard, Simon","ENG","1945",NA,24,1,NA,"not found",NA,0,NA,NA,NA,"1945",NA,"ENG"
"Banchieri, Adriano","ITA","1568","1634",24,1,"http://d-nb.info/gnd/118506374","Banchieri, Adriano","ITA",1,"1568","1634","Banchieri, Tommaso; Banchiero, Adriano; Banchieri, Andriano; Attabalippe; Attalippo; , dal Perù; Atalippo; , dal Perù; Attabalippa; , dal Perù; Banchieri, Adrian; Scaligeri dalla Fratta, Camillo; Dalla Fratta, Camillo S.; Fratta, Camillo S. dalla; Scaliggeri dalla Fratta, Camillo; Scaligeri DallaFratta, Camillo; DallaFratta, Camillo S.; Banchieri, Adriano Tomaso; Bianchieri, Adriano; Adriano, da Bologna; Bologna, Adriano da; Bianchieri, A.; Bankieri, A.; Bankieri, Adriano; Banchieri, A.","1568","1634","ITA"
"Banister, John","ENG",NA,NA,1,1,"http://d-nb.info/gnd/140076050","Banister, John","GBR",0,"1662","1736",NA,"1662","1736","ENG"
"Bao, Yuan-kai","CHN","1944",NA,8,1,NA,"not found",NA,0,NA,NA,NA,"1944",NA,"CHN"
"Baptista, Sor Gracia","ESP",NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ESP"
"Barba, Hernán Vinicio","ECU","1982",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"ECU"
"Barber, Samuel","USA","1910","1981",1,1,"http://d-nb.info/gnd/118924109","Barber, Samuel","USA",1,"1910","1981","Barber, ...; Barber, S.; Barber, Samuel Osmond; Barber, Sam","1910","1981","USA"
"Barbieri, Francisco A.","ESP","1823","1894",1,1,"http://d-nb.info/gnd/118849255","Barbieri, Francisco Asenjo","ESP",1,"1823","1894","Asenjo-Barbieri, Francisco; Barbieri, Francisco; Acenjo Barbieri, Francisco; Barbieri, Francisco Asenjo y; Barbieri, Francisco A.; Barbieri, F. A.; Aseujo Barbieri, Francisco; Asenjo Barbieri, Francisco; Asenjo y Barbieri, Francisco","1823","1894","ESP"
"Barbireau, Jacobus",NA,NA,NA,1,1,"http://d-nb.info/gnd/121970485","Barbireau, Jacob","NLD",0,"1420","1491","Jacobus, Barberianus; Jacob, Barbireau; Barbireau, Jacobus; Barberianus, Jacobus; Barbirianus, Jacobus; Jacobus, Barbirianus; Barbarian, Jacobus; Jacobus, Barbarian; Barbireau, Jacques; Jacques, Barbireau","1420","1491","NLD"
"Barbosa, Cacilda Borges","BRA","1914",NA,6,1,NA,"not found",NA,0,NA,NA,NA,"1914",NA,"BRA"
"Bargiel, Woldemar","DEU","1828","1897",3,1,"http://d-nb.info/gnd/116056908","Bargiel, Woldemar","DEU",1,"1828","1897","Bargiel, Waldemar; Bargiel, Woldem.","1828","1897","DEU"
"Bargy, Roy",NA,"1894","1974",8,1,NA,"not found",NA,0,NA,NA,NA,"1894","1974",NA
"Barnaba, Fabio","ITA","1982",NA,8,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"ITA"
"Barnard, George D.",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Barnett, John","ENG","1802","1890",1,1,"http://d-nb.info/gnd/116059028","Barnett, John Francis","GBR",1,"1837","1916","Barnett, John F.",NA,NA,"ENG"
"Barnhouse, Charles","USA","1865","1929",2,1,NA,"not found",NA,0,NA,NA,NA,"1865","1929","USA"
"Baron, Ernst Gottlieb","DEU","1696","1760",25,1,"http://d-nb.info/gnd/100422977","Baron, Ernst Gottlieb","DEU",1,"1696","1760","Baron, Ernst G.; Baron, E. G.","1696","1760","DEU"
"Barret, John",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Barrette, Robert M.","USA","1981",NA,6,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,"USA"
"Barrios-Mangoré, Agustín","PRY","1885","1944",2,1,NA,"not found",NA,0,NA,NA,NA,"1885","1944","PRY"
"Bartlet, John","ENG",NA,NA,2,1,"http://d-nb.info/gnd/134714733","Bartlet, John","GBR",0,NA,NA,"Bartlett, John",NA,NA,"ENG"
"Bartók, Béla","HUN","1881","1945",42,1,"http://d-nb.info/gnd/118506900","Bartók, Béla","HUN/ROU/USA",1,"1881","1945","Bartók, B.; Bartók, ...; Bartók, Béla Viktor János; Bartók-Reschofsky, ...; Bartók-Székely, ...; Bartók-Szigeti, ...; Bartok, Bela; Барток, Бела","1881","1945","HUN"
"Batten, Adrian","ENG","1591","1637",3,1,"http://d-nb.info/gnd/115739262","Batten, Adrian","GBR",0,"1591","1637",NA,"1591","1637","ENG"
