Row	CAMC_Name	GND_URI	GND_Name	GND_Land	GND_Gender	GND_Birth	GND_Death	GND_VariantName
382	Dese, Calvin Z.	NA	not found	NA	0	NA	NA	NA
383	Destino, Nicolas A.	NA	not found	NA	0	NA	NA	NA
384	Devienne, François	http://d-nb.info/gnd/116088516	Devienne, François	XA-FR	1	1759-01-31	1803-09-06	Devienne, ...; Devienne, Frederic; Devienne, F.; LeJeune, Vienne; Vienne, F. de; Vienne, le jeune; Devienne, le jeune
385	Diabelli, Anton	http://d-nb.info/gnd/119216132	Diabelli, Anton	XA-AT; XA-DE	1	1781-09-05	1858-04-07	Demon, Anton; Diabelli, A.; Diabelly, ...; Diabelli, Ant.; Diabelli, Antoine; Diabelli, Antonio
386	Dimoff, Eleanor Ogden	NA	not found	NA	0	NA	NA	NA
387	Diotte, Gaëtan N.	NA	not found	NA	0	NA	NA	NA
388	Diruta, Girolamo	http://d-nb.info/gnd/12166032X	Diruta, Girolamo	XA-IT	0	1554	1609	Dirutta, Gierolamo; Diruta, Hieronymus; Dirutta, Gierolamo da; Diruta,Hieronymus
389	Dittersdorf, Karl Ditters von	http://d-nb.info/gnd/118679856	Dittersdorf, Karl Ditters von	XA-AT	1	1739-11-02	1799-10-24	Ditters z Dittersdorfu, Karel; Dietersdorff, Karl Ditters von; Diters fon Ditersdorf, Karl; Dittersdorf; Ditters von Dittersdorf; Ditter von Dittersdorf, Carl; Dittersdorff, Ditters de; Ditters, Carlo; Ditters; Dittersdorf, Carlo de; Diettersdorff; Dittersdorff, C. D. de; Ditters de Dittersdorff, C.; Dittersdorf, Karl D. von; Ditters von Dittersdorf, Karl; Dittersdorf, Carl D. von; Dittersdorf, Carl von; Dittersdorf, Carl; Ditter von Dittersdorf, Karl; Dittersdorfu, Karel Ditters z; Ditersdorf, Karl Diters fon; Dietersdorf, Dieter von; Dittersdorf, Carl Ditters von; Ditters von Dittersdorf, Carl; Ditters, Karl; Von Dittersdorf, Carl Ditters; Ditters, Carl; Dittersdorf, Karl von; Dittersdorf, Charles Ditters de; Ditters de Dittersdorf, Charles
390	Dlugoraj, Wojciech	NA	not found	NA	0	NA	NA	NA
391	Dmytro, Barry J.	NA	not found	NA	0	NA	NA	NA
392	Dobson, David P.	NA	not found	NA	0	NA	NA	NA
393	Dodson, Michael A.	NA	not found	NA	0	NA	NA	NA
394	Donati, Baltassare	NA	not found	NA	0	NA	NA	NA
395	Donizetti, Gaetano	http://d-nb.info/gnd/118526731	Donizetti, Gaetano	XA-IT; XA-FR; XA-AT	1	1797-11-29	1848-04-08	Donizetti, Gaetano D.; Donizetti, Gaëtano; Donizetti, L.; Donizetti, Domenico Gaetano Maria; Donizetti, ...; Donizetti, C.; Donizetti, G.; Donicetti, G.; Donizzetti, Gaetano; Donizetti, Gaetanto; Donizeti, Gaetano; Donizetti, Cajetan; Donizetti, Geatano
396	Doppler, Franz	http://d-nb.info/gnd/116180064	Doppler, Franz	XA-AT; XA-HU	1	1821-10-16	1883-07-27	Doppler, Ferencz; Doppler, F.; Doppler, Albert Franz; Doppler, Albert F.; Doppler, Franz A.; Doppler, Fr.; Doppler, Frç.; Doppler, A. F.; Doppler, Ferenc; Doppler, Franz Albert; Doppler, François
397	Dornell, Antoine Dornell	NA	not found	NA	0	NA	NA	NA
398	Dougherty, Terrence P.	NA	not found	NA	0	NA	NA	NA
399	Dowland, John	http://d-nb.info/gnd/11867238X	Dowland, John	XA-GB	1	1562	1626-02-20	Dowland, ...; Daurando, Jon; Dovland, Iohn; Douland, John; Dowland, J.; Dooland, John
400	Draeseke, Felix	http://d-nb.info/gnd/118907735	Draeseke, Felix	XA-DE	1	1835-10-07	1913-02-26	Draeseke; Draeseke, Felix August Bernhard
401	Dreyshock, Alexander	NA	not found	NA	0	NA	NA	NA
402	Driffill, William Ralph	http://d-nb.info/gnd/1037186478	Driffill, William Ralph	XA-GB	1	1883	1916	Driffill, W. Ralph
403	Driscoll, John R.	NA	not found	NA	0	NA	NA	NA
404	Dufay, Guillaume	http://d-nb.info/gnd/118527924	Dufay, Guillaume	XA-NL; XA-BE; XA-FR	1	1400	1474-11-27	Dufay, Guglielmus; Dufay, Guillelmus; Dufay, Guilelmus; Guilelmus, Dufay; Guillaume, Du Fayt; Djufai, Gijom; Dufay, Guilleaume; Guillaume, Dufay; Du Fay, Guillaume; Du Fayt, Guillaume; Fay, Guillaume du; Dufay, Gulielmus; Dufay, Gulielmo; Fayt, Guillaume du; Dufay, Guglielmo; Guillaume, Du Fay
405	Duffield, Joshua J.	NA	not found	NA	0	NA	NA	NA
406	Dukas, Paul	http://d-nb.info/gnd/119174049	Dukas, Paul	XA-FR	1	1865-10-01	1935-05-17	NA
407	Dunstable, John	http://d-nb.info/gnd/119386518	Dunstable, John	XA-GB	0	1390	1453-12-24	Dunstable, ...; Dunstable, J.; Dunstaple, John; Dunstapell, John; Dumstable, John; Donstaple, John
408	Duparc, Henri	http://d-nb.info/gnd/118672789	Duparc, Henri	XA-FR	1	1848-01-21	1933-02-22	Duparc, Henri Fouques; Duparc, Henri F.; Duparc, Marie Eugène Henri Fouques-; Fouques du Parc, Henri; Fouques-Duparc, Marie Eugène Henri; Fouques-Duparc, Henri; Fouques Duparc, Henri; Fouques Duparc, Henri Marie Eugène
409	Dupré, Marcel	http://d-nb.info/gnd/119387018	Dupré, Marcel	XA-FR	1	1886-05-03	1971-05-30	Dupré, ...; Dupré, M.
410	Durand, Marie-Auguste	http://d-nb.info/gnd/134836448	Durand, Auguste	XA-FR	1	1830-07-18	1909-05-31	Durand, Marie Auguste; Durand, Marie A.; Durand; Durand, Marie-Auguste; Durand, Aug.
411	Durango, Matias de	NA	not found	NA	0	NA	NA	NA
412	Durante, Francesco	http://d-nb.info/gnd/118901753	Durante, Francesco	XA-IT	1	1684-03-13	1755-09-30	Durante, F.; Durante, Pasquale-Francesco
413	Durgun, Ahmed Mahi	NA	not found	NA	0	NA	NA	NA
414	Dussek, Jan Ladislav	http://d-nb.info/gnd/11867286X	Dussek, Johann Ladislaus	XA-CZ	1	1760-02-12	1812-03-20	Dussek, ...; Dussek, Johann L.; Dusík, Johann L.; Dusseck, J. L.; Dussec, J. L.; Dusík, J. L.; Dušek, Johann Ludwig; Dusik, Wenzel Joh.; Dussek, I. L.; Dussek, J. L.; Dussek, Jan L.; Dusik, Jan L.; Dussek, Ladislav; Dussik, J. L.; Dusik, Jan Ladislaus; Dussek, L.; Dussek, Johann Ladislav; Dussek, Jan Ladislaus; Dussek, Johann Friedrich; Dussek, Jan Ladislaw; Dussek, Jean Louis; Dussek, Johann Ludwig; Dusík, Jan Ladislav; Dussek, Jan Ladislav; Dusík, Johann Ladislaus; Dusík, Johann Ludwig; Dušek, Jan Ladislav; Dussek, Wenzeslaus; Dussik, Johann Ladislaus; Dusseck, Johann Ladislas; Dussek, Ian Ladislav; Dusseck, Jan Ladislav; Dussík, Jan Ladislav
415	Duval, Louise	NA	not found	NA	0	NA	NA	NA
416	Duvernoy, Charles	http://d-nb.info/gnd/132593920	Duvernoy, Charles	XA-FR	0	1766	1845	Duvernoy, Jacques-Georges-Charles-François; Duvernoy, Jacques; Duvernoy, Jacques Georges Charles François
417	Duvernoy, Jean Baptiste	http://d-nb.info/gnd/116259035	Duvernoy, Jean-Baptiste	XA-FR	1	1800	1880	Duvernoy, Jean Baptiste; Duvernoy, J.-B.; Duvernoy, J. B.; Duvernoy, Jean B.
418	Dvořák, Antonín (Leopold)	http://d-nb.info/gnd/11852836X	Dvořák, Antonín	XA-CZ; XA-AT; XD-US	1	1841-09-08	1904-05-01	Dvọřák, Antonín; Dvořak, Anton; Dvorak, Anton; Dvořác, Anton; Dvořak, Antoine; Dvořak, Antonin H.; Dvorák, Antonín H.; Dvorák, Antonin; Dvořák, Antonín Leopold; Dvořák, Antonín L.; Dvořák, ...; Dvořák-Kreisler, ...; Dvoržak, Antonin; Dvořák, A.; Dvořák, Antonin; Dvorak, Antonin; Dvořák, Anton; Dvorzak, Anton; Dvorzhak, Antonin
419	Döhler, Théodore	http://d-nb.info/gnd/104066954	Döhler, Theodor	XA-AT; XA-IT	1	1814-04-20	1856-02-21	Döhler, Charles Theodor; Döhler, Teodoro; Döhler, Théodore; Döhler, Theodor von; Doehler, Theodor; Döhler, T.
420	Eberlin, Johann Ernst	http://d-nb.info/gnd/11938700X	Eberlin, Johann Ernst	XA-DE	1	1702-03-27	1762-06-19	Eberlin, Giovanni Ernesto; Eberlin, Johannes Ernestus; Eberlin, Joannes Ernestus; Eberlin, Johann Ernest; Eberlin, Joh. Ernest; Eberlin, J. F.; Eberlin, Ernesto d'; Eberlin, Johann E.; Eberlin, Ernst
421	Eberling, Johann Georg	NA	not found	NA	0	NA	NA	NA
422	Eccard, Johannes	http://d-nb.info/gnd/118528688	Eccard, Johannes	XA-DE	1	1553	1611	Eccardus, Johannes aus Mühlhausen; Eccard, Johann; Eccard, Johann.; Eccard, J.; Eccard, Johan; Eccardt, Johannes; Eccardus, Johannes; Eckard, Johann
423	Eccles, Henry	http://d-nb.info/gnd/128535555	Eccles, Henry	XA-FR	0	NA	NA	Ecclès, Henry; Eccles, Henri
423	Eccles, Henry	http://d-nb.info/gnd/1133215882	Eccles, Henry	XA-GB	1	1640	1711	NA
424	Eccles, John	http://d-nb.info/gnd/121225488	Eccles, John	XA-GB	1	1668	1735	NA
425	Edwards, Keith Otis	NA	not found	NA	0	NA	NA	NA
426	Eichberg, Julius	http://d-nb.info/gnd/117736821	Eichberg, Julius	XA-DE	1	1824	1893	NA
427	Eichner, Ernst	http://d-nb.info/gnd/118688308	Eichner, Ernst	XA-DE	1	1740	1777	Eichler, Ernesst; Eichner, Ernest; Eichner, Erneste; Eichner, Ernesto; Eichner, Ernst D.; Eichner, Ernst Dietrich Adolph; Eichner, Ernst Dietrich Adolf
428	Eisenstein, Louis	NA	not found	NA	0	NA	NA	NA
429	Eldering, Klaas	NA	not found	NA	0	NA	NA	NA
430	Elgar, Sir Edward	http://d-nb.info/gnd/118688588	Elgar, Edward	XA-GB	1	1857-06-02	1934-02-23	Francke, Gustav; Elgar, E.; Elgar, ...; Elgar, Edward W.; Elgar, Edward William; Elgar, Edgar William
431	Empricost, C.	NA	not found	NA	0	NA	NA	NA
432	Encina, Juan del	http://d-nb.info/gnd/118955683	Encina, Juan del	XA-ES	0	1468	1529	Ensina, Juan de; DelEncina, Juan; Enzina, Juan de la; Juan, del Encina; Enzina, Juan del; Enzina, Juan dell; Fermoselle, Juan de; Juan, del Enzina; Encina, Juan de la; De la Encina, Juan; La Encina, Juan de; Gutiérrez Abascal, Ricardo; Abascal, Ricardo Gutiérrez; Céspedes, Valentín de; De Céspedes, Valentín
433	Enescu, George	http://d-nb.info/gnd/118684639	Enescu, George	XA-RO	1	1881-08-19	1955-05-03	Enescu, ...; Grogga, Camille; Enescu, Georg; Enesku, D.; Enesco, Georges; Enescu, Georges; Enesco, George
434	Engelmann, Georg	http://d-nb.info/gnd/134793757	Engelmann, Georg, sen.	XA-DE	1	1570	1632	Engelman, Georgius
435	English, Walter P.	NA	not found	NA	0	NA	NA	NA
436	Enríquez, Carlos	NA	not found	NA	0	NA	NA	NA
437	Episcopius, Lupus	NA	not found	NA	0	NA	NA	NA
438	Erkel, Ferenc	http://d-nb.info/gnd/118530801	Erkel, Ferenc	XA-HU	1	1810-11-07	1893-06-15	Erkel, Franz; Erkel, Ferents; Erkel, Ferensz; Erkel, Ference; Erkel, Ferencz; Erkel', Ferents
439	Erne, Rolf Peter	NA	not found	NA	0	NA	NA	NA
440	Escobar, Pedro de	http://d-nb.info/gnd/129018201	Escobar, Pedro de	XA-ES; XA-PT	1	1465	1535	Pedro, do Porto; Pedro, del Puerto; Puerto, Pedro del; Scobar, Pedro de; Porto, Pedro de; Puerto, Pedro de
440	Escobar, Pedro de	http://d-nb.info/gnd/1089736398	Escobar, Pedro de	ZZ	0	NA	NA	NA
441	Esposito, Michele	http://d-nb.info/gnd/1019431180	Esposito, Michele	XA-IT	0	1855-09-29	1929-11-19	Esposito, M.; Esposito, Michel
442	Esquivel, Juan	http://d-nb.info/gnd/133710696	Esquivel, Juan García	XD-MX	1	1918-01-20	2002-01-03	Esquivel, ...; Esquivel, Juan-García; Esquivel, Juan-Garciá
443	Estrada, Jaye Anthony	NA	not found	NA	0	NA	NA	NA
444	Ewald, Victor	http://d-nb.info/gnd/134567587	Ėvalʹd, Viktor V.	XA-RU	1	1860-11-27	1935-04-16	Ėvalʹd, Viktor Vladimirovič; Ewald, Viktor; Ewald, V.; Ewald, Victor; Evalʹd, Viktor Vladimirovič; Eval'd, Viktor Vladimirovich
445	Exaudet, André Joseph	http://d-nb.info/gnd/132770903	Exaudet, André-Joseph	NA	0	1710	1763	Exaudet, J.; Exaudet, André Joseph; Exaudet, Joseph
446	Expósito, José Manuel	NA	not found	NA	0	NA	NA	NA
447	Eyck, Jacob van	http://d-nb.info/gnd/118860801	Eyck, Jacob van	XA-NL	1	1590	1657	Eyk, Jacob van; Eyck, Jacob J. van; Eyck, Jakob van; Eyk, Jan J. van; Eyck, Johann J. van; Eyck, Jacob Jan van; Eyck, Johann J. Van; Eyck, Johann Jacob Van; Eyck, Jacob Van; Eyck, Johann Jacob van; Eyck, Jonkheer Jacob van
448	Falla, Manuel de	http://d-nb.info/gnd/118531883	Falla, Manuel de	XA-ES; XD-AR	1	1876-11-23	1946-11-14	Falla, ...; Falla y Matheu, Manuel Maria de; Matheu, Manuel de Falla y; Falla, M. de; Farya, Manueru de; Falla-Kochanski, ... de; Falla, Manuel y Manuel de; Falʹja, Manuėlʹ de; Fal'ja, Manuėl' de; Falla y Matheu, Manuel de; De Falla, Manuel; DeFalla, Manuel
449	Fallen, Jeff L.	NA	not found	NA	0	NA	NA	NA
450	Farmer, John	http://d-nb.info/gnd/116409363	Farmer, John	XA-GB	1	1836	1901	NA
450	Farmer, John	http://d-nb.info/gnd/128352132	Farmer, John	XA-GB	1	1570	NA	NA
451	Farnaby, Giles	http://d-nb.info/gnd/124265952	Farnaby, Giles	XA-GB	1	1563	1640	NA
452	Farrant, Richard	http://d-nb.info/gnd/115738975	Farrant, Richard	XA-GB	1	[1525/30]	1580-11-30	NA
453	Farrenc, Jeanne-Louise	http://d-nb.info/gnd/116410132	Farrenc, Louise	XA-FR	2	1804-05-31	1875-09-15	Dumont, Louise; Dumont Farrenc, Louise; Farrenc, ...; Farrenc, Jeanne-Louise; Farrenc, Jeanne Louise; Farrenc-Dumont, Louise; Farrenc, L.; Dumont, Jeanne-Louise; Farrenc, Jeanne-Louise Dumont
454	Farris, Jim S.	NA	not found	NA	0	NA	NA	NA
455	Fasch, Johann Friedrich	http://d-nb.info/gnd/11872262X	Fasch, Johann Friedrich	XA-DE	1	1688-04-15	1758-12-05	Fasch, Johannes Friedrich; Fasch, Johann F.; Fasch, J. Fr.; Fasch, Joh. Fr.
456	Fauré, Gabriel	http://d-nb.info/gnd/118920626	Fauré, Gabriel	XA-FR	1	1845-05-12	1924-11-04	Fauré, Gabriel Urbain; Fore, Gabriel'; Fore, G.; Fauré, G.; Fauré, ...; Faurée, Gabriel; Faure, Gabriel
457	Felsztyn, Sebastian of	http://d-nb.info/gnd/119255472	Felsztyn, Sebastian von	XA-PL	0	[1480/90]	1543	Sebastianus, de Felstin; Sebastian, z Felsztyna; Sebastian, Felstyńczyk; Sebastian, Felsztyńczyk; Sebastian, of Felsztyn; Sebastianus, Felstinensis; Felstinen, Sebastianus de; Felstein, Sebastian; Felstin, Sebastianus de; Felstin, Sebastian; Felsztyn, Sebastian of
458	Ferdinand, David	NA	not found	NA	0	NA	NA	NA
459	Fernandes, D.	NA	not found	NA	0	NA	NA	NA
460	Fernandez, Gaspar	NA	not found	NA	0	NA	NA	NA
461	Fernández Magaña, José Pablo	NA	not found	NA	0	NA	NA	NA
462	Fernández, Juan Pablo	NA	not found	NA	0	NA	NA	NA
463	Ferrabosco, Domenico	http://d-nb.info/gnd/102420300	Ferrabosco, Domenico Maria	XA-IT	1	1513-02-14	1574	Ferabosco, Domenico; Ferrabosco, Domenico M.; Ferrabosco, Domenico; Ferabosco, Domenico Maria
464	Ferrer, Mateo	http://d-nb.info/gnd/1036519198	Ferrer, Mateo	XA-ES	1	1788	1864	NA
465	Fibich, Zdenek	http://d-nb.info/gnd/117749443	Fibich, Zdeněk	XA-CZ; XA-DE; XA-FR	1	1850-12-21	1900-10-15	Fibich, Zdenek Antonín Václav; Fibich, Zdenko; Fibich, Zdeněk Antonín Václav
466	Field, John	http://d-nb.info/gnd/118683578	Field, John	XA-IE; XA-RU	1	1782-07-26	1837-01-23	Field, J. D.; Fild, Dzhon
467	Fielitz, Alexander von	http://d-nb.info/gnd/116500395	Fielitz, Alexander von	XA-DE	1	1860	1930	Fielitz, Alex von; Von Fielitz, Alexander
468	Finck, Heinrich	http://d-nb.info/gnd/123911117	Finck, Heinrich	XA-DE	1	1445	1527-06-09	Henricus, de Bamberga; Finck, Henri; Finck, Henricus; Fink, Heinrich; Fink, Henri
469	Finger, Gottfried	http://d-nb.info/gnd/128911085	Finger, Gottfried	XA-CZ; XA-DE	1	1660	1730	Finger, Bohumir; Finger, G.; Fingher, Gottfried; Finger, Gottlieb; Finger, Goffredus; Finger, Godfrey; Finger, Godfry; Finger, Godefroid; Finger, Godfrydo
470	Fiocco, Joseph Hector	http://d-nb.info/gnd/124729738	Fiocco, Joseph Hector	XA-BE	1	1703-01-20	1741-06-21	Fiocco, J. H.; Fiocco, Joseph-Hector; Fiocco, Joseph H.; Fiocco, J.-H.; Fiocco-Bazelaire; Fiocco, Gioseffo Hectore; Fiokko; Fiocco, Jozef-Hector; Fiocco, Hector-Joseph
471	Fiorillo, Federigo	http://d-nb.info/gnd/103794719	Fiorillo, Federigo	XA-IT	1	1755-06-01	1823	Fiorillo, Frederigo; Fiorello, F.; Fiorillo, Federico; Fiorillo, F.; Fiorillo, Fedrigo
472	Fischer, Johann Caspar Ferdinand	http://d-nb.info/gnd/11891958X	Fischer, Johann Caspar Ferdinand	XA-DE	1	1656-09-06	1746-08-27	Fischer, Johann C. F.; Fischer, Johann C.; Fischer, Johann Kasper Ferdinand; Fischer, Johann Caspar; Fischer, Johann K.; Fischer, Johann; Fischer, J. C. F.; Fischer, J. K. F.; Fischer, Jean Gaspar; Fischer, Joann Caspar Ferdinand; Fischer, Ioann Caspar Ferdinand; Fischer, Kaspar Ferdinand; Fischer, Johann Kaspar Ferdinand; Fischer, Jean Gaspard Ferdinand; Fischer, Giovanni Gasparo
473	Fisher, Leander	http://d-nb.info/gnd/130113654	Fisher, Leander	NA	0	NA	NA	Fischer, Léa
474	Fisher, Nathan A.	NA	not found	NA	0	NA	NA	NA
475	Flecha, Mateo	http://d-nb.info/gnd/102427739	Flecha, Mateo, der Ältere	XA-ES	0	1481	1553	Flecha, Mateo, el Viejo; Flecha, Mathieu; Fleccia, Mathieu; Flexa, Matteo; Fleccia, Matheo; Flecha, Mateo; Fletxa, Mateu; Flexa, Matheus; Flecha, Matheo; Flexta, Mateu
475	Flecha, Mateo	http://d-nb.info/gnd/103839844	Flecha, Mateo, der Jüngere	NA	0	1530	1604	Fleccia, Matheo; Flecha, Matheo; Flecha, Matteo; Flecha, Mateo
476	Flies, Bernhard	http://d-nb.info/gnd/134723759	Fliess, Bernhard	XA-DE	0	1770	NA	F****; Flies, ...; Flies, Bernhard; Fließ, Bernhard
477	Florentia, Giovanni da	NA	not found	NA	0	NA	NA	NA
478	Fomin, Ewstignei	NA	not found	NA	0	NA	NA	NA
479	Ford, Thomas	http://d-nb.info/gnd/118966065	Ford, Thomas	XA-GB	0	1580	1648	NA
480	Fowler, Luke A.	NA	not found	NA	0	NA	NA	NA
481	Fragoso, Antonio	http://d-nb.info/gnd/140472983	Fragoso, Antônio	XA-PT	0	1897	1918	Lima Fragoso, Antonio de
482	Franck, César	http://d-nb.info/gnd/118534645	Franck, César	XA-BE; XA-FR; XA-DE	1	1822-12-10	1890-11-08	Franck, César Auguste Jean Guillaume Hubert; Franck, ...; Franck, César August; Franck, Cäsar; Franck, César A.; Franck, César-Auguste; Frank, Cesar; Frank, Cezar; Franck, César Auguste; Frank, Sezar; Frank, César
483	Franck, Melchior	http://d-nb.info/gnd/11869250X	Franck, Melchior	XA-DE	1	1579	1639-06-01	Francus, Melchior; Frank, Melchior; Franco, Melchior; Francke, Melchior; Franc, Melchior; Franc, M.
484	Franco, Hernando	http://d-nb.info/gnd/123845513	Franco, Hernando	XD-MX	0	1532	1585	Franco, Fernando
485	Frederick the Great, King of Prussia	NA	not found	NA	0	NA	NA	NA
486	Freixanet, Joseph	NA	not found	NA	0	NA	NA	NA
487	Frescobaldi, Girolamo	http://d-nb.info/gnd/118896229	Frescobaldi, Girolamo	XA-IT	1	1583-09-12	1643-03-01	Frescobaldi; Frescobaldi, Jérome; Frescobaldi, Garolamo; Frescobaldi, Giorlamo; Frescobaldi, Geronimo; Frescobaldvs, Hieronymvs; Frescobaldi, G.; Frescobaldi, Gerolamo; Frescobaldi, Hieronymus; Frescobaldi, Girolimo; Frescobaldi, Girolamo Alessandro; Frescobaldi, Geronimo Alissandro; Frescobaldi, Guillaume; Freskobalʹdi, Dzhirolamo; Frescobaldi, Hieronimus
488	Friderici, Daniel	http://d-nb.info/gnd/121912760	Friderici, Daniel	XA-DE	1	1584	1638	Friederici, Daniel; Friderich, Daniel; Friedrich, Daniel; Friderici, Daniele
489	Friese, Theodore	NA	not found	NA	0	NA	NA	NA
490	Froberger, Johann Jacob	http://d-nb.info/gnd/118536249	Froberger, Johann Jacob	XA-DE	1	1616-05-28	1667-05-16	Froberger, ...; Froberger, Johann Jakob; Froberger, J. J.; Froberger, Johann-Jacob; Froberger, Johann-Jakob; Froberger, Johann J.; Frohberger, Johann Jacob; Froberger, Giovanni Giacomo; Frobergue, Giacomo
491	Fuchs, Christian	http://d-nb.info/gnd/1066586896	Fuchs, Christian Heinrich Leberecht	XA-DE	1	1791	1849	NA
491	Fuchs, Christian	http://d-nb.info/gnd/1104186497	Fuchs, Christian	XA-DE	1	NA	NA	NA
492	Fucik, Julius	NA	not found	NA	0	NA	NA	NA
493	Fuenllana, Miguel de	http://d-nb.info/gnd/119122855	Fuenllana, Miguel de	XA-ES	0	1500	1579	Fuenllana, Michel de; De Fuenllana, Michel; Fuenllana, Miguel
494	Furue, Ryo	NA	not found	NA	0	NA	NA	NA
495	Fux, Johann Joseph	http://d-nb.info/gnd/118694375	Fux, Johann Joseph	XA-AT	1	1660	1741-02-13	Fux, Giov. Gioseffo; Fuchs, Johannes Joseph; Fux, Johannes Joseph; Fux, Giovanni Gioseffo; Fux, Johannes Josephus; Fux, Joannes Josephus; Fux, J. J.; Fux, Johann J.; Fuchs, Johann J.; Fux, Giovanni G.; Fuchs, Johann Joseph; Fux, Johann Josef; Fux, Joh. Jos.; Feux, John Joseph; Fux, Giovanni Giuseppe; Fux, Joanne Josepho; Fux, Johann
496	Gabrieli, Andrea	http://d-nb.info/gnd/118689061	Gabrieli, Andrea	XA-IT	1	1510	1585-08-30	Gabrielli, Andrea; Gabrieli, A.
497	Gabrieli, Giovanni	http://d-nb.info/gnd/118537024	Gabrieli, Giovanni	XA-IT	1	1554	1612	Gabrielli, Giovanni; Gabrieli, Johannes; Gabrieli, Joan.
498	Gade, Niels Wilhelm	http://d-nb.info/gnd/119057077	Gade, Niels Wilhelm	XA-DK	1	1817-02-22	1890-12-21	Gade, ...; Gade, Neils W.; Gade, Niels W(ilhelm); Gade, Niels; Gade, Niels W.; Gade, Nils W.
499	Galilei, Vincenzo	http://d-nb.info/gnd/118716204	Galilei, Vincenzo	XA-IT	0	1520	1591	Galilei, Vicentio; Galilei, Vicenze; Galilei, Vincento; Galilei, Vincentio; Galilei, Vincenzio; Galilei, Vincentino
500	Galliard, Johann Ernest	NA	not found	NA	0	NA	NA	NA
501	Galloway, Alexander Xavier	NA	not found	NA	0	NA	NA	NA
502	Gallus-Carniolus, Iacobus (Jakob Petelin)	NA	not found	NA	0	NA	NA	NA
503	Galuppi, Baldassare	http://d-nb.info/gnd/118722700	Galuppi, Baldassare	XA-IT	1	1706-10-18	1785-01-03	Burauello; Galuppi, Baldasarre; Galuppi, Baldasare; Galuppi, Baldasar; Il Buranello; Buranello; Galuppi, B.; Galuppi, Balthasar; Galuppi, Baldassar; Galuppi, Baldassero; Galuppi, Baldassarre; Galluppi, Baldassarre; Buranello-Galuppi, Baldassar; Galuppi, Baldissera; Galuppi, Balthasarre
504	Ganne, Louis	http://d-nb.info/gnd/138238650	Ganne, Louis	XA-FR	1	1862-04-05	1923-07-13	Ganne, Louis Gaston; Ganne, Louis-Gaston; Ganne, L.; Ganne, Gustave Louis; Ganne, Luigi; Canne, Louis
505	Garcia Piccinini, Andres Cayetano	NA	not found	NA	0	NA	NA	NA
506	García, José Aurelio	NA	not found	NA	0	NA	NA	NA
507	Gary, Frederick S.	NA	not found	NA	0	NA	NA	NA
508	Gastoldi, Giovanni Giacomo	http://d-nb.info/gnd/122192117	Gastoldi, Giovanni Giacomo	XA-IT	1	1550	1622	Gastoldi, G. G.; Gastoldi, Gio. Giacomo; Gastoldi, Giovanni G.; Castoldi, Giovanni; Gastoldi, Johann-Jacobus; Gastoldi, Giacomo; Castoldi, Giovanni Giacomo; Gastoldi, Jean-Jacques; Gastoldi, Johann-Jacobi; Gastoldi, Giovanni; Gastoldi da Caravaggio, Giovanni Giacomo
509	Gaultier, Denis	http://d-nb.info/gnd/121493547	Gaultier, Denis	XA-FR	1	1603	1672	Gaulthier, Denis; Gautier, Denis; Gaultier, le jeune; Gaultier, de Paris; Gaultier, Denis Ennemond
510	Gawara, Walentyn	NA	not found	NA	0	NA	NA	NA
511	Gelinek, Ivan	NA	not found	NA	0	NA	NA	NA
512	Geminiani, Francesco	http://d-nb.info/gnd/119091097	Geminiani, Francesco	XA-IT	1	1687-12-05	1762-09-17	Dzheminiani, F.; Geminiani, Francis; Geminiani, Francesco S.; Geminiani, Francesco Maria; Geminiani, Francesco Saverio; Geminiani, Francesco Xaverio; Geminiani, F. S.
513	Geoffroy, Jean-Nicolas	http://d-nb.info/gnd/10436503X	Geoffroy, Jean-Nicolas	XA-FR	0	1630	1694	Geoffroy, Nicolas; Geoffroy, Jean Nicolas
514	German, Edward	http://d-nb.info/gnd/118957627	German, Edward	XA-GB	1	1862-02-17	1936-11-11	Jones, Edward G.; Jones, Edward German; Jones, German Edward; German, J. Edward
515	Gershwin, George	http://d-nb.info/gnd/118639226	Gershwin, George	XD-US	1	1898-09-26	1937-07-11	Gershwine, Jacob; Gerhvin, Jacob; Gershovitz, Jacob; Gershwin, G.; Gershwin, ...; Gershvin, Jacob; Geršvin, D.
516	Gervaise, Claude	http://d-nb.info/gnd/124988938	Gervaise, Claude	XA-FR	1	1505	1555	Gervais, Claude
517	Gesius, Bartholomeus	http://d-nb.info/gnd/118694405	Gesius, Bartholomäus	XA-DE	1	1555	1613	Gese, Bartholomäus; Göse, Bartholomaeus; Gesius, Bartholomeus; Gesius, B.; Göss, Bartholomäus
518	Gesualdo, Carlo	http://d-nb.info/gnd/118694456	Gesualdo, Carlo	XA-IT	1	1561	1613-09-08	Venosa, ...; Gesualdo da Venosa, C.; Venosa, Gesualdo; Venosa, Carlo Gesualdo; Gesualdo, Carlos; Gesualdo di Venosa, Carlo; Gesualdo Principe di Venosa, Carlo; Gesualdo, Carlo, Venosa, Principe; Gesualdo da Venosa, Carlo; Di Venosa, Carlo Gesualdo, principe; Dzhezualʹdo, di Venoza; Venosa, Carlo Gesualdo, principe di; Gesualdo, Carlo, Fürst von Venosa; Gesualdo, di Venosa; Gesualdo da Venosa
519	Gianelli, Gustavo Biciato	NA	not found	NA	0	NA	NA	NA
