Row	CAMC_Name	GND_URI	GND_Name	GND_Land	GND_Gender	GND_Birth	GND_Death	GND_VariantName
31	Ambroise, Paul	NA	not found	NA	0	NA	NA	NA
32	Ames, Brian Michael	NA	not found	NA	0	NA	NA	NA
33	Ammerbach, Nicolaus	http://d-nb.info/gnd/11911139X	Ammerbach, Elias Nikolaus	XA-DE	1	1530	1597	Ammerbach, Elias Nicolaus; Ammerbach, Elias N.; Ammerbach, Nicolaus; Amerbach, Elias Nikolaus; Amerbach, Elias Nicolaus; Amerbach, Nicolaus; Amerbachius, Elias Nicolaus; Amorbach, Nicolaus; Amorbach, Elias Nikolaus; Ammorbach, Elias Nicolaus; Ammorbach, Elias Nikolaus; Amorbach, Elias Nicolaus; Amorbach, Nikolaus; Ammerbach, Nikolaus
34	Anchieta, Juan de	http://d-nb.info/gnd/13473680X	Anchieta, Juan de	XA-ES	1	1462	1523	Anchieta, Juan de Anchieta; De Anchieta, Juan
35	Andersen, Karl Joachim	http://d-nb.info/gnd/116304294	Andersen, Carl Joachim	XA-DK	1	1847-04-29	1909-05-07	Andersen, Karl Joachim; Andersen, Joachim; Andersen, Carl J.; Andersen, Karl J.; Andersen, J.
36	Anderson, Andrew	NA	not found	NA	0	NA	NA	NA
37	Anerio, Felice	http://d-nb.info/gnd/122802381	Anerio, Felice	XA-IT	1	1560	1614	Anerio, J. F.; Anerius, Felix; Anerius, Felicius; Arnerius, Felix
38	Anerio, Giovanni Francesco	http://d-nb.info/gnd/12280239X	Anerio, Giovanni Francesco	XA-IT	0	1567	1630	Anerio, Giovanni F.; Anerio, G. F.; Anerio, Joannis Franciscus; Anerio, Johann Franciscus; Anerio, Francisco
39	Ang, Minni K.H.	NA	not found	NA	0	NA	NA	NA
40	Angers, Jean-Philippe	NA	not found	NA	0	NA	NA	NA
41	Animuccia, Giovanni	http://d-nb.info/gnd/13513482X	Animuccia, Giovanni	XA-IT	1	1520	1571	Animuccia, G.; Animucia, Joanne
42	Anna Amalia, Princess of Prussia	http://d-nb.info/gnd/118648659	Amalie, Preußen, Prinzessin	XA-DE	2	1723-11-09	1787-03-30	Preußen, Amalie von; Amalia, Preußen, Prinzessin; Anna Amalie, Preußen, Prinzessin; Anna Amalia, Preußen, Prinzessin; Anne Amelie, Preußen, Prinzessin; Amalie, Quedlinburg, Äbtissin; Hohenzollern, Amalie von; Preussen, Amalie von; Hohenzollern, Amalie von, Prinzessin; Amalia, Prinzessin von Preussen; Anne Amelie, Prinzessin von Preussen; Anna Amalie, Prinzessin von Preussen; Preussen, Amalie von, Prinzessin; Anna Amalia, Prinzessin von Preussen; Anna Amalia, von Preussen; Anna Amalia, Princess of Prussia; Amalie, Prinzessin von Preussen; Amalia, von Preussen
43	Anonymous	NA	not found	NA	0	NA	NA	NA
44	Anonymous Folk Songs	NA	not found	NA	0	NA	NA	NA
45	Antonelli da Rimini, fra Cornelio	NA	not found	NA	0	NA	NA	NA
46	Aragon, Leroy B.	NA	not found	NA	0	NA	NA	NA
47	Aranés, Juan	NA	not found	NA	0	NA	NA	NA
48	Arban, Jean-Baptiste	http://d-nb.info/gnd/11936610X	Arban, Jean-Baptiste	XA-FR	1	1825-02-28	1889-04-09	Arban, Joseph Jean-Baptiste Laurent; Arban, Joseph Jean Baptist Laurent; Arban, Jean B.; Arban, Jean Baptiste; Arban, Joseph; Arban, ...; Arban, Zh. B.; Arban, J. B.
49	Arcadelt, Jacob	http://d-nb.info/gnd/119501716	Arcadelt, Jacob	XA-NL; XA-FR	1	1504	1568-10-04	Arkadelt, Jakob; Arcadente, Giovanni; Arcadelt, Giacomo; Archadelt, Jacobus; Arcadelt, J.; Arcadelt, Jacobus; Archadelt, Jacob; Archadelt, Jakob; Archadelth, ...; Arcadet, Jacobus; Hercadelt, Jakob; Jacobus, Flandrus; Arcadet, Gombert; Arcadet, Iacobus; Harcadelt, Jacob; Arcadet, Jacques; Archadet, Jacques; Arcadelt, Jacques; Arcadelt, Jachet; Arcadelt, Jakob
50	Archer, Frederick	http://d-nb.info/gnd/14140468X	Archer, Frederick	XA-GB; XD-US	0	1838-06-16	1901-10-22	Archer, Frederic
51	Archer, Jerald F.	NA	not found	NA	0	NA	NA	NA
52	Arditti, David	NA	not found	NA	0	NA	NA	NA
53	Arensky, Anton	http://d-nb.info/gnd/118875655	Arenskij, Anton Stepanovič	XA-RU; XA-DE	1	1861-07-12	1906-02-25	Arenskij, Antonij S.; Arenskij, Antonij Stepanovic; Areński, A.; Arenskii, Antonii Stepanovich; Arenskij, A. S.; Arensky, ...; Arenskij, ...; Arensky, Anton S.; Arensky, A.; Arenskij, A.; Arenskis, A.; Arenskij, Anton S.; Arenskij, Antonij Stepanowitsch; Arenski, Anton Stepanowitsch; Arensky, Antony Stepanovich; Arensky, Anton Stephan; Arenski, Anton Stepanovich; Arenski, Antoni; Arensky, Anton Stepanovich; Arensky, Anton Stepanowitsch; Arensky, Anton; Arenski, Anton; Arenski, Antoni Stepanovitch
54	Armond, Andrew D.	NA	not found	NA	0	NA	NA	NA
55	Arne, Thomas Augustine	http://d-nb.info/gnd/119223295	Arne, Thomas Augustine	XA-GB	1	1710-03-12	1778-03-05	Arne, ...; Arne, Thomaz Augustine; Arne, Thomas Augustin; Arne, Thomas A.; Arne, Thomas; Gentleman commoner of Oxford
56	Arnold, Sir Malcolm	http://d-nb.info/gnd/118942840	Arnold, Malcolm	XA-GB	1	1921-10-21	2006-09-23	Arnold, M.; Arnold, Malcolm Henry
57	Arriaga, Juan Crisostomo de	NA	not found	NA	0	NA	NA	NA
58	Arrieta, Juan Emilio	NA	not found	NA	0	NA	NA	NA
59	Ascher, Joseph	http://d-nb.info/gnd/141845457	Ascher, Joseph	XA-NL	1	1829	1869	Ascher, J.
60	Ashe, Ivy	NA	not found	NA	0	NA	NA	NA
61	Asola, Matteo	http://d-nb.info/gnd/101374054	Asola, Giovanni Matteo	XA-IT	1	1532	1609	Asula, Matthe̜us; Asola, Giammateo; Asola, Matteo; Asola, Giovanni M.; Asula, Io. Matthaeo; Asvla, Io. Matthaevs; Asula, Ioan. Mattheo; Asula, Ioan. Matthaeo; Asula, Matthaeo; Asvla, Io. Matthaeo; Asola, John Matthew; Asula, Giovanni Matteo; Asola, M.; Asola, Gio. Matteo; Asula, Mattheus; Asola, Johannes Matthaeus; Asula, Giammateo; Asola, G. M.; Asola, G.; Asula, Johannes Matthäus
62	Assandra, Caterina	http://d-nb.info/gnd/102834903	Assandra, Caterina	XA-IT	2	1580	[nach1618]	Assandra, Catharina
63	Aston, Hugh	NA	not found	NA	0	NA	NA	NA
64	Astorga, Emanuele d'	http://d-nb.info/gnd/118638629	Astorga, Emanuele d'	XA-IT; XA-ES	1	1680-03-20	1757	Astorga, Emanuele, barone d'; Astorga, Emanuele; D'Astorga, Emanuele G.; Astorga, Emanuele G. d'; D'Astorga, Emanuele; Rincon, Emanuele Gioacchino Cesare; Astorga, Emanuele Gioacchino Cesare Rincon d'; Rincon, Emanuele Gioacchino Cesare, barone d’Astorga; Astorga, Emanuel; Astorga, Emanuele Rincon d'; Astorga, Emanuel Rincon d'; Rincón de Astorga, Manuel; Rincón, Manuel, Barón de Astorga
65	Athenaios (Son Of Athenaios)	NA	not found	NA	0	NA	NA	NA
66	Attaingnant, Pierre	NA	not found	NA	0	NA	NA	NA
67	Attwood, Thomas	http://d-nb.info/gnd/118650890	Attwood, Thomas	XA-GB	0	1765	1831	NA
68	Auber, Daniel-François-Esprit	http://d-nb.info/gnd/118646192	Auber, Daniel-François-Esprit	XA-FR	1	1782-01-29	1871-05-13	Auber, Daniel François Esprit; Auber, D. F.; Auber, D.; Auber, Daniel F.; Auber, Daniel-François; Auber, D. F. E.; Auber, D. F. C.; Auber, ...; Ober, D.; Auber, Daniel François; Auber, Esprit; Auber, François; Auber, Daniel; Auber, D.F.E.
69	Audran, Edmond	http://d-nb.info/gnd/120659328	Audran, Edmond	XA-FR	1	1840	1901	Audran, E.; Audran, Ed.; Audran, Edmondo; Audran, Édouard
70	Avila, Christian	NA	not found	NA	0	NA	NA	NA
71	Avison, Charles	http://d-nb.info/gnd/124616836	Avison, Charles	XA-GB	1	1709	1770	Avison, Karl
72	Azzaiolo, Filippo	http://d-nb.info/gnd/134736869	Azzaiolo, Filippo	NA	1	1530	1569	NA
73	Bach, Carl Philipp Emanuel	http://d-nb.info/gnd/118505505	Bach, Carl Philipp Emanuel	XA-DE	1	1714-03-08	1788-12-14	Bach, Carl Philipp Emanuell; Bach, Carl Philipp Emmanuel; Bach, Carl Philip Emanuel; Bach, Carl Ph. E.; Bach, Carl P.; Bach, C. F. Em.; Bach, C. F. E.; Bach, C. Ph. Em.; Bach, C. Ph. E.; Bach, Karl P.; Bach, Philipp E.; Bach, Ph. E.; Bach, Ph. Eman.; Bach, ...; Bah, Karl Filip Emanuel; Bach, Karl Philipp Emanvel; Bahha, P. E.; Bach, Carlo Filippo Emanuele; Bach, C. P. E.; Bach, Karl Philipp Emanuel; Bach, Philipp Emanuel; Bach, Emanuel; Bach, K. P. E.
74	Bach, Heinrich	http://d-nb.info/gnd/12028572X	Bach, Heinrich	XA-DE	1	1615	1692	Bahs, Heinrihs; Bakh, Genrikh
75	Bach, Johann Christian	http://d-nb.info/gnd/118505521	Bach, Johann Christian	XA-DE; XA-GB	1	1735-09-05	1782-01-01	Bach, John C.; Bach, Johann-Christian; Baek, ...; Bach, Joh. Chr.; Bach, J. Chr.; Bach, J. C.; Bach, I. C.; Bach, Giovanni C.; Bach, Giovan C.; Bach, J. Ch.; Bach, I. Ch.; Bach, Jean; Bach, Giovan Christiano; Bach, Iogann Christian; Bach, Joh. Christian; Bach, Giovanni Christiano; Bach, Jean Chrétien; Bach, Jean Cretien; Bach, John Christian; Bach, Christian; Bahs, Johans Kristians; Bach, Giovanni Christian; Bach, Jean-Chrétien
75	Bach, Johann Christian	http://d-nb.info/gnd/1067078746	Bach, Johann Christian	XA-DE	1	1743-07-23	1814	NA
